epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,2494.94,1.63522,2.1542,1.79798,0.59135,0.55887,0.53946,0.2549,1.4496,1.50237,1.87016,0.0013962,0.0013962,0.0013962
83,2525.42,1.69493,2.29043,1.81625,0.4417,0.55556,0.57094,0.29392,1.44436,1.38953,1.91356,0.0013764,0.0013764,0.0013764
84,2555.8,1.71269,2.18294,1.87462,0.49388,0.72917,0.67704,0.29804,1.45123,1.4113,1.9283,0.0013566,0.0013566,0.0013566
85,2586.66,1.61462,2.26917,1.77069,0.41151,0.66123,0.55924,0.27653,1.48007,1.43814,1.95407,0.0013368,0.0013368,0.0013368
86,2617.18,1.75091,2.32597,1.84405,0.42877,0.81956,0.60614,0.28813,1.48857,1.40622,1.93919,0.001317,0.001317,0.001317
87,2647.29,1.65639,2.03783,1.70194,0.50907,0.70139,0.64401,0.32214,1.44742,1.35174,1.90624,0.0012972,0.0012972,0.0012972
88,2679.08,1.70387,2.36028,1.83192,0.49702,0.61111,0.55173,0.25836,1.47554,1.45444,1.9635,0.0012774,0.0012774,0.0012774
89,2710,1.62932,2.15284,1.73592,0.52311,0.5,0.55833,0.27755,1.49156,1.41188,1.94628,0.0012576,0.0012576,0.0012576
90,2740.52,1.64923,2.22032,1.74253,0.61743,0.42361,0.57106,0.28618,1.4391,1.41339,1.89952,0.0012378,0.0012378,0.0012378
91,2771.07,1.61951,2.20165,1.76935,0.36555,0.52473,0.52446,0.26271,1.41652,1.4596,1.90203,0.001218,0.001218,0.001218
92,2801.79,1.73107,2.30409,1.87947,0.50289,0.70139,0.53093,0.25817,1.46455,1.47234,1.96046,0.0011982,0.0011982,0.0011982
93,2832.44,1.71643,2.16327,1.88603,0.61886,0.58449,0.68359,0.36147,1.42959,1.44306,1.90362,0.0011784,0.0011784,0.0011784
94,2863.41,1.63667,2.09682,1.78624,0.93545,0.37479,0.62568,0.28649,1.4361,1.46793,1.92249,0.0011586,0.0011586,0.0011586
95,2893.87,1.61997,2.11947,1.74328,0.43679,0.74065,0.60497,0.27681,1.44238,1.39844,1.91007,0.0011388,0.0011388,0.0011388
96,2924.38,1.66719,2.21144,1.82597,0.38051,0.65278,0.51827,0.26873,1.48693,1.51008,1.91425,0.001119,0.001119,0.001119
97,2954.92,1.59364,2.04169,1.74107,0.48387,0.70833,0.68799,0.33431,1.41144,1.38706,1.88404,0.0010992,0.0010992,0.0010992
98,2985.36,1.60024,2.13632,1.78355,0.63958,0.74306,0.76572,0.38197,1.33303,1.32123,1.8439,0.0010794,0.0010794,0.0010794
99,3016.48,1.60833,2.07613,1.76933,0.71547,0.56774,0.71357,0.35881,1.33452,1.3558,1.85055,0.0010596,0.0010596,0.0010596
100,3046.99,1.60178,2.23373,1.7359,0.53272,0.57505,0.61318,0.31502,1.50785,1.4027,1.91933,0.0010398,0.0010398,0.0010398
101,3077.52,1.72904,2.33472,1.81158,0.43296,0.54489,0.60595,0.28156,1.45278,1.44836,1.91088,0.00102,0.00102,0.00102
102,3108.18,1.60503,2.2145,1.77449,0.5758,0.56138,0.63032,0.32605,1.36975,1.4131,1.8429,0.0010002,0.0010002,0.0010002
103,3138.29,1.6786,2.15029,1.80924,0.76001,0.65278,0.75311,0.36437,1.36608,1.32684,1.84248,0.0009804,0.0009804,0.0009804
104,3168.4,1.60435,2.10449,1.71297,0.56733,0.65863,0.71203,0.33063,1.43426,1.40035,1.89463,0.0009606,0.0009606,0.0009606
105,3198.47,1.58359,2.08403,1.76843,0.49521,0.625,0.59394,0.30195,1.47129,1.45312,1.89913,0.0009408,0.0009408,0.0009408
106,3228.59,1.60591,1.88956,1.76368,0.53139,0.65278,0.65554,0.34787,1.43293,1.3327,1.88401,0.000921,0.000921,0.000921
107,3258.66,1.51398,1.96467,1.7171,0.54559,0.59028,0.65528,0.32933,1.39501,1.3282,1.86785,0.0009012,0.0009012,0.0009012
