epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,3394.67,1.57048,2.2138,1.71154,0.25889,0.58333,0.46058,0.22178,1.54319,1.6294,2.06099,0.001515,0.001515,0.001515
77,3437.44,1.50106,2.06625,1.68105,0.55982,0.55749,0.60809,0.27414,1.61658,1.8862,2.08065,0.0014952,0.0014952,0.0014952
78,3480.22,1.47812,2.12467,1.69765,0.4201,0.69444,0.52288,0.23539,1.58384,1.67435,2.09129,0.0014754,0.0014754,0.0014754
79,3529.67,1.48729,2.1193,1.67433,0.57493,0.6875,0.5796,0.2904,1.5068,1.60836,1.97763,0.0014556,0.0014556,0.0014556
80,3575.42,1.55063,2.12533,1.72772,0.5916,0.70833,0.60689,0.29351,1.4921,1.53009,1.98485,0.0014358,0.0014358,0.0014358
81,3618.52,1.46569,1.88221,1.64291,0.63487,0.67194,0.656,0.29191,1.49387,1.65598,2.00324,0.001416,0.001416,0.001416
82,3662.4,1.50307,1.79375,1.65923,0.584,0.65278,0.59862,0.27835,1.50817,1.59891,2.00318,0.0013962,0.0013962,0.0013962
83,3705.88,1.40084,1.95432,1.5615,0.50396,0.56944,0.51586,0.26055,1.52912,1.83582,2.0062,0.0013764,0.0013764,0.0013764
84,3748.78,1.50504,1.95835,1.64118,0.53641,0.68049,0.62118,0.31484,1.48338,1.46772,1.9615,0.0013566,0.0013566,0.0013566
85,3792.61,1.32271,1.81061,1.53479,0.49706,0.45272,0.52947,0.27165,1.5188,1.92818,2.00285,0.0013368,0.0013368,0.0013368
86,3835.44,1.49595,1.95105,1.67583,0.42958,0.68056,0.51738,0.26326,1.50283,1.51483,2.01592,0.001317,0.001317,0.001317
87,3878.71,1.49123,1.81098,1.6597,0.48909,0.61111,0.53666,0.26926,1.49097,1.53838,2.01657,0.0012972,0.0012972,0.0012972
88,3921.55,1.42766,1.96732,1.62983,0.33149,0.38889,0.49078,0.26465,1.51409,1.59078,2.04054,0.0012774,0.0012774,0.0012774
89,3964.53,1.33785,1.87858,1.51058,0.38055,0.6449,0.53925,0.27813,1.46641,1.35629,1.96268,0.0012576,0.0012576,0.0012576
90,4007.34,1.43308,1.97004,1.63059,0.55835,0.54167,0.51203,0.2724,1.44719,1.61026,1.96952,0.0012378,0.0012378,0.0012378
91,4049.95,1.48152,1.99126,1.6753,0.6717,0.65972,0.63432,0.32431,1.44077,1.40868,1.93091,0.001218,0.001218,0.001218
